aging_mode,use_alt_on_na,alloc_policy,workset,pattern,branches,warmup,mismatch,pc_error,accuracy_percent
0,0,0,128,correlated,10000,1000,0,0,52.01
0,0,0,128,mixed,10000,1000,0,0,86.40
0,0,0,64,correlated,10000,1000,0,0,50.73
0,0,0,64,mixed,10000,1000,0,0,86.99
0,0,1,128,correlated,10000,1000,0,0,53.32
0,0,1,128,mixed,10000,1000,0,0,86.39
0,0,1,64,correlated,10000,1000,0,0,53.61
0,0,1,64,mixed,10000,1000,0,0,87.32
0,1,0,128,correlated,10000,1000,0,0,54.14
0,1,0,128,mixed,10000,1000,0,0,88.78
0,1,0,64,correlated,10000,1000,0,0,54.35
0,1,0,64,mixed,10000,1000,0,0,89.85
0,1,1,128,correlated,10000,1000,0,0,56.26
0,1,1,128,mixed,10000,1000,0,0,88.20
0,1,1,64,correlated,10000,1000,0,0,57.42
0,1,1,64,mixed,10000,1000,0,0,90.17
1,0,0,128,correlated,10000,1000,0,0,52.01
1,0,0,128,mixed,10000,1000,0,0,86.40
1,0,0,64,correlated,10000,1000,0,0,50.73
1,0,0,64,mixed,10000,1000,0,0,86.99
1,0,1,128,correlated,10000,1000,0,0,53.14
1,0,1,128,mixed,10000,1000,0,0,86.39
1,0,1,64,correlated,10000,1000,0,0,53.63
1,0,1,64,mixed,10000,1000,0,0,87.32
1,1,0,128,correlated,10000,1000,0,0,54.14
1,1,0,128,mixed,10000,1000,0,0,88.78
1,1,0,64,correlated,10000,1000,0,0,54.35
1,1,0,64,mixed,10000,1000,0,0,89.85
1,1,1,128,correlated,10000,1000,0,0,56.26
1,1,1,128,mixed,10000,1000,0,0,88.20
1,1,1,64,correlated,10000,1000,0,0,57.42
1,1,1,64,mixed,10000,1000,0,0,90.17
2,0,0,128,correlated,10000,1000,0,0,52.33
2,0,0,128,mixed,10000,1000,0,0,86.28
2,0,0,64,correlated,10000,1000,0,0,50.91
2,0,0,64,mixed,10000,1000,0,0,86.29
2,0,1,128,correlated,10000,1000,0,0,53.38
2,0,1,128,mixed,10000,1000,0,0,85.94
2,0,1,64,correlated,10000,1000,0,0,53.18
2,0,1,64,mixed,10000,1000,0,0,87.21
2,1,0,128,correlated,10000,1000,0,0,53.50
2,1,0,128,mixed,10000,1000,0,0,88.62
2,1,0,64,correlated,10000,1000,0,0,53.86
2,1,0,64,mixed,10000,1000,0,0,89.74
2,1,1,128,correlated,10000,1000,0,0,57.35
2,1,1,128,mixed,10000,1000,0,0,88.06
2,1,1,64,correlated,10000,1000,0,0,56.12
2,1,1,64,mixed,10000,1000,0,0,89.96
